espn_id,full_name,team,position,age,fantasy_points,first_last,position_rank,risk,auction_value,bye
15848,eddie lacy,GB,RB,25.0,236.0,"lacy, eddie",1.0,Green,44.8853737237,7.0
10456,marshawn lynch,SEA,RB,29.0,233.0,"lynch, marshawn",2.0,Green,43.5936009708,9.0
13215,dez bryant,DAL,WR,27.0,216.0,"bryant, dez",1.0,Green,37.6534756903,6.0
15825,leveon bell,PIT,RB,23.0,218.0,"bell, leveon",3.0,Yellow,37.2349787922,11.0
11307,jamaal charles,KC,RB,29.0,217.0,"charles, jamaal",4.0,Green,36.8172859336,9.0
13934,antonio brown,PIT,WR,27.0,211.0,"brown, antonio",2.0,Green,35.5690945392,11.0
13216,demaryius thomas,DEN,WR,28.0,204.0,"thomas, demaryius",3.0,Yellow,32.6860090982,7.0
14874,andrew luck,IND,QB,26.0,373.0,"luck, andrew",1.0,Green,31.8700743231,10.0
10452,adrian peterson,MIN,RB,30.0,205.0,"peterson, adrian",5.0,Red,31.8700743231,5.0
11278,matt forte,CHI,RB,30.0,204.0,"forte, matt",6.0,Green,31.4634450757,7.0
16803,jeremy hill,CIN,RB,23.0,203.0,"hill, jeremy",7.0,Green,31.0577184622,7.0
16040,cj anderson,DEN,RB,24.0,202.0,"anderson, cj",8.0,Yellow,30.6529025876,7.0
10447,calvin johnson,DET,WR,30.0,198.0,"johnson, calvin",4.0,Red,30.2490057221,9.0
14005,demarco murray,PHI,RB,27.0,198.0,"murray, demarco",9.0,Red,29.0429144819,8.0
13229,rob gronkowski,NE,TE,26.0,165.0,"gronkowski, rob",1.0,Yellow,28.2436082789,4.0
13982,julio jones,ATL,WR,26.0,192.0,"jones, julio",5.0,Green,27.845409122,10.0
16733,odell beckham,NYG,WR,23.0,191.0,"beckham, odell",6.0,Green,27.4481919824,11.0
14053,randall cobb,GB,WR,25.0,186.0,"cobb, randall",7.0,Yellow,25.4771878234,7.0
14912,alshon jeffery,CHI,WR,25.0,183.0,"jeffery, alshon",8.0,Green,24.3070334803,7.0
11467,justin forsett,BAL,RB,30.0,179.0,"forsett, justin",10.0,Yellow,21.615032902,9.0
14886,lamar miller,MIA,RB,24.0,179.0,"miller, lamar",10.0,Green,21.615032902,5.0
8439,aaron rodgers,GB,QB,32.0,344.0,"rodgers, aaron",2.0,Yellow,20.4786131152,7.0
12514,lesean mccoy,BUF,RB,27.0,175.0,"mccoy, lesean",12.0,Yellow,20.1022184078,8.0
13983,aj green,CIN,WR,27.0,171.0,"green, aj",9.0,Green,19.7270558102,7.0
15795,deandre hopkins,HOU,WR,23.0,167.0,"hopkins, deandre",10.0,Green,18.2390622032,9.0
14924,ty hilton,IND,WR,26.0,166.0,"hilton, ty",11.0,Green,17.8703165521,10.0
16737,mike evans,TB,WR,22.0,161.0,"evans, mike",12.0,Red,16.0470723618,6.0
13232,jimmy graham,SEA,TE,29.0,133.0,"graham, jimmy",2.0,Yellow,16.0470723618,9.0
,melvin gordon,SD,RB,22.0,162.0,"gordon, melvin",13.0,Green,15.3277333102,10.0
15009,alfred morris,WAS,RB,27.0,161.0,"morris, alfred",14.0,Yellow,14.9702903987,8.0
10475,greg olsen,CAR,TE,30.0,128.0,"olsen, greg",3.0,Green,14.2599846353,5.0
13295,emmanuel sanders,DEN,WR,28.0,155.0,"sanders, emmanuel",13.0,Yellow,13.9071755255,7.0
16731,brandin cooks,NO,WR,22.0,154.0,"cooks, brandin",14.0,Yellow,13.555966578,11.0
2580,drew brees,NO,QB,36.0,324.0,"brees, drew",3.0,Yellow,13.2063874993,11.0
14881,russell wilson,SEA,QB,27.0,323.0,"wilson, russell",4.0,Green,12.8584692667,9.0
13981,mark ingram,NO,RB,26.0,150.0,"ingram, mark",15.0,Green,11.1449755625,11.0
8479,frank gore,IND,RB,32.0,147.0,"gore, frank",16.0,Red,10.1391274148,10.0
16800,davante adams,GB,WR,23.0,144.0,"adams, davante",15.0,Red,10.1391274148,7.0
1428,peyton manning,DEN,QB,39.0,312.0,"manning, peyton",5.0,Yellow,9.15142449222,7.0
15847,travis kelce,KC,TE,26.0,113.0,"kelce, travis",4.0,Green,9.15142449222,9.0
11283,desean jackson,WAS,WR,29.0,140.0,"jackson, desean",16.0,Green,8.82646417775,8.0
16763,jordan matthews,PHI,WR,23.0,139.0,"matthews, jordan",17.0,Yellow,8.50373765584,8.0
16725,sammy watkins,BUF,WR,22.0,138.0,"watkins, sammy",18.0,Yellow,8.18330854822,8.0
13217,golden tate,DET,WR,27.0,137.0,"tate, golden",19.0,Green,7.86524470531,9.0
16013,joseph randle,DAL,RB,24.0,139.0,"randle, joseph",17.0,Red,7.54961866028,6.0
11237,matt ryan,ATL,QB,30.0,306.0,"ryan, matt",6.0,Green,7.23650815199,10.0
5209,tony romo,DAL,QB,35.0,306.0,"romo, tony",6.0,Green,7.23650815199,6.0
11247,jonathan stewart,CAR,RB,28.0,138.0,"stewart, jonathan",18.0,Yellow,7.23650815199,5.0
5536,ben roethlisberger,PIT,QB,33.0,305.0,"roethlisberger, ben",8.0,Yellow,6.92599673045,11.0
16777,carlos hyde,SF,RB,24.0,136.0,"hyde, carlos",19.0,Green,6.61817446214,10.0
12503,rashad jennings,NYG,RB,30.0,136.0,"jennings, rashad",19.0,Yellow,6.61817446214,11.0
12483,matthew stafford,DET,QB,27.0,303.0,"stafford, matthew",9.0,Green,6.31313875668,9.0
,todd gurley,STL,RB,21.0,134.0,"gurley, todd",21.0,Red,6.01099534275,6.0
11295,martellus bennett,CHI,TE,28.0,103.0,"bennett, martellus",5.0,Green,6.01099534275,7.0
16944,devonta freeman,ATL,RB,23.0,133.0,"freeman, devonta",22.0,Yellow,5.7118594288,10.0
13213,legarrette blount,NE,RB,29.0,133.0,"blount, legarrette",22.0,Yellow,5.7118594288,4.0
,amari cooper,OAK,WR,21.0,130.0,"cooper, amari",20.0,Red,5.7118594288,6.0
11439,pierre garcon,WAS,WR,29.0,130.0,"garcon, pierre",20.0,Yellow,5.7118594288,8.0
4527,jason witten,DAL,TE,33.0,102.0,"witten, jason",6.0,Yellow,5.7118594288,6.0
,tj yeldon,JAC,RB,22.0,131.0,"yeldon, tj",24.0,Yellow,5.12312697984,8.0
4512,anquan boldin,SF,WR,35.0,128.0,"boldin, anquan",22.0,Yellow,5.12312697984,10.0
14189,jordan cameron,MIA,TE,27.0,100.0,"cameron, jordan",7.0,Red,5.12312697984,5.0
12601,mike wallace,MIN,WR,29.0,127.0,"wallace, mike",23.0,Yellow,4.83382233798,5.0
14204,julius thomas,JAC,TE,27.0,99.0,"thomas, julius",8.0,Red,4.83382233798,8.0
13994,cam newton,CAR,QB,26.0,297.0,"newton, cam",10.0,Yellow,4.54811359168,5.0
12649,julian edelman,NE,WR,29.0,125.0,"edelman, julian",24.0,Yellow,4.26619152156,4.0
8475,vincent jackson,TB,WR,32.0,125.0,"jackson, vincent",24.0,Yellow,4.26619152156,6.0
12579,jeremy maclin,KC,WR,27.0,125.0,"maclin, jeremy",24.0,Green,4.26619152156,9.0
15920,latavius murray,OAK,RB,24.0,131.0,"murray, latavius",24.0,Yellow,3.98827132269,6.0
16794,bishop sankey,TEN,RB,23.0,129.0,"sankey, bishop",26.0,Green,3.71459784236,4.0
12537,jared cook,STL,TE,28.0,95.0,"cook, jared",9.0,Green,3.71459784236,6.0
15818,keenan allen,SD,WR,23.0,122.0,"allen, keenan",27.0,Green,3.44545247136,10.0
